번호,상호,주소,기간,휘발유,동
A0019785,해피주유소,광주 광산구 건재로 761,2020년 05월 3주,1249.0,본덕동
A0019785,해피주유소,광주 광산구 건재로 761,2020년 05월 4주,1257.57,본덕동
A0019785,해피주유소,광주 광산구 건재로 761,2020년 06월 1주,1269.0,본덕동
A0019785,해피주유소,광주 광산구 건재로 761,2020년 06월 2주,1277.57,본덕동
A0019785,해피주유소,광주 광산구 건재로 761,2020년 06월 3주,1301.86,본덕동
A0019785,해피주유소,광주 광산구 건재로 761,2020년 06월 4주,1329.0,본덕동
A0019785,해피주유소,광주 광산구 건재로 761,2020년 07월 1주,1329.0,본덕동
A0019785,해피주유소,광주 광산구 건재로 761,2020년 07월 2주,1337.57,본덕동
A0019785,해피주유소,광주 광산구 건재로 761,2020년 07월 3주,1339.0,본덕동
A0019785,해피주유소,광주 광산구 건재로 761,2020년 07월 4주,1339.0,본덕동
A0019785,해피주유소,광주 광산구 건재로 761,2020년 07월 5주,1339.0,본덕동
A0019785,해피주유소,광주 광산구 건재로 761,2020년 08월 1주,1339.0,본덕동
A0019785,해피주유소,광주 광산구 건재로 761,2020년 08월 2주,1339.0,본덕동
A0019785,해피주유소,광주 광산구 건재로 761,2020년 08월 3주,1339.0,본덕동
A0019785,해피주유소,광주 광산구 건재로 761,2020년 08월 4주,1339.0,본덕동
A0019785,해피주유소,광주 광산구 건재로 761,2020년 09월 1주,1339.0,본덕동
A0019785,해피주유소,광주 광산구 건재로 761,2020년 09월 2주,1339.0,본덕동
A0019785,해피주유소,광주 광산구 건재로 761,2020년 09월 3주,1339.0,본덕동
A0019785,해피주유소,광주 광산구 건재로 761,2020년 09월 4주,1339.0,본덕동
A0019785,해피주유소,광주 광산구 건재로 761,2020년 09월 5주,1330.43,본덕동
A0019785,해피주유소,광주 광산구 건재로 761,2020년 10월 1주,1329.0,본덕동
A0019785,해피주유소,광주 광산구 건재로 761,2020년 10월 2주,1320.43,본덕동
A0019785,해피주유소,광주 광산구 건재로 761,2020년 10월 3주,1319.0,본덕동
A0019785,해피주유소,광주 광산구 건재로 761,2020년 10월 4주,1319.0,본덕동
A0020494,(주)명진주유소,광주 광산구 고봉로 21 (하남동),2019년 11월 1주,1499.0,하남동
A0020494,(주)명진주유소,광주 광산구 고봉로 21 (하남동),2019년 11월 2주,1503.29,하남동
A0020494,(주)명진주유소,광주 광산구 고봉로 21 (하남동),2019년 11월 3주,1529.0,하남동
A0020494,(주)명진주유소,광주 광산구 고봉로 21 (하남동),2019년 11월 4주,1529.0,하남동
A0020494,(주)명진주유소,광주 광산구 고봉로 21 (하남동),2019년 12월 1주,1529.0,하남동
A0020494,(주)명진주유소,광주 광산구 고봉로 21 (하남동),2019년 12월 2주,1529.0,하남동
A0020494,(주)명진주유소,광주 광산구 고봉로 21 (하남동),2019년 12월 3주,1571.86,하남동
A0020494,(주)명진주유소,광주 광산구 고봉로 21 (하남동),2019년 12월 4주,1579.0,하남동
A0020494,(주)명진주유소,광주 광산구 고봉로 21 (하남동),2020년 01월 1주,1579.0,하남동
A0020494,(주)명진주유소,광주 광산구 고봉로 21 (하남동),2020년 01월 2주,1579.0,하남동
A0020494,(주)명진주유소,광주 광산구 고봉로 21 (하남동),2020년 01월 3주,1579.0,하남동
A0020494,(주)명진주유소,광주 광산구 고봉로 21 (하남동),2020년 01월 4주,1579.0,하남동
A0020494,(주)명진주유소,광주 광산구 고봉로 21 (하남동),2020년 01월 5주,1579.0,하남동
A0020494,(주)명진주유소,광주 광산구 고봉로 21 (하남동),2020년 02월 1주,1579.0,하남동
A0020494,(주)명진주유소,광주 광산구 고봉로 21 (하남동),2020년 02월 2주,1579.0,하남동
A0020494,(주)명진주유소,광주 광산구 고봉로 21 (하남동),2020년 02월 3주,1564.71,하남동
A0020494,(주)명진주유소,광주 광산구 고봉로 21 (하남동),2020년 02월 4주,1537.57,하남동
A0020494,(주)명진주유소,광주 광산구 고봉로 21 (하남동),2020년 03월 1주,1529.0,하남동
A0020494,(주)명진주유소,광주 광산구 고봉로 21 (하남동),2020년 03월 2주,1529.0,하남동
A0020494,(주)명진주유소,광주 광산구 고봉로 21 (하남동),2020년 03월 3주,1520.43,하남동
A0020494,(주)명진주유소,광주 광산구 고봉로 21 (하남동),2020년 03월 4주,1490.43,하남동
A0020494,(주)명진주유소,광주 광산구 고봉로 21 (하남동),2020년 04월 1주,1430.43,하남동
A0020494,(주)명진주유소,광주 광산구 고봉로 21 (하남동),2020년 04월 2주,1404.71,하남동
A0020494,(주)명진주유소,광주 광산구 고봉로 21 (하남동),2020년 04월 3주,1370.43,하남동
A0020494,(주)명진주유소,광주 광산구 고봉로 21 (하남동),2020년 04월 4주,1299.0,하남동
A0020494,(주)명진주유소,광주 광산구 고봉로 21 (하남동),2020년 04월 5주,1276.14,하남동
A0020494,(주)명진주유소,광주 광산구 고봉로 21 (하남동),2020년 05월 1주,1259.0,하남동
A0020494,(주)명진주유소,광주 광산구 고봉로 21 (하남동),2020년 05월 2주,1259.0,하남동
A0020494,(주)명진주유소,광주 광산구 고봉로 21 (하남동),2020년 05월 3주,1259.0,하남동
A0020494,(주)명진주유소,광주 광산구 고봉로 21 (하남동),2020년 05월 4주,1259.0,하남동
A0020494,(주)명진주유소,광주 광산구 고봉로 21 (하남동),2020년 06월 1주,1259.0,하남동
A0020494,(주)명진주유소,광주 광산구 고봉로 21 (하남동),2020년 06월 2주,1259.0,하남동
A0020494,(주)명진주유소,광주 광산구 고봉로 21 (하남동),2020년 06월 3주,1246.14,하남동
A0020494,(주)명진주유소,광주 광산구 고봉로 21 (하남동),2020년 06월 4주,1263.29,하남동
A0020494,(주)명진주유소,광주 광산구 고봉로 21 (하남동),2020년 07월 1주,1290.43,하남동
A0020494,(주)명진주유소,광주 광산구 고봉로 21 (하남동),2020년 07월 2주,1299.0,하남동
A0020494,(주)명진주유소,광주 광산구 고봉로 21 (하남동),2020년 07월 3주,1299.0,하남동
A0020494,(주)명진주유소,광주 광산구 고봉로 21 (하남동),2020년 07월 4주,1306.14,하남동
A0020494,(주)명진주유소,광주 광산구 고봉로 21 (하남동),2020년 07월 5주,1309.0,하남동
A0020494,(주)명진주유소,광주 광산구 고봉로 21 (하남동),2020년 08월 1주,1309.0,하남동
A0020494,(주)명진주유소,광주 광산구 고봉로 21 (하남동),2020년 08월 2주,1309.0,하남동
A0020494,(주)명진주유소,광주 광산구 고봉로 21 (하남동),2020년 08월 3주,1309.0,하남동
A0020494,(주)명진주유소,광주 광산구 고봉로 21 (하남동),2020년 08월 4주,1309.0,하남동
A0020494,(주)명진주유소,광주 광산구 고봉로 21 (하남동),2020년 09월 1주,1309.0,하남동
A0020494,(주)명진주유소,광주 광산구 고봉로 21 (하남동),2020년 09월 2주,1309.0,하남동
A0020494,(주)명진주유소,광주 광산구 고봉로 21 (하남동),2020년 09월 3주,1309.0,하남동
A0020494,(주)명진주유소,광주 광산구 고봉로 21 (하남동),2020년 09월 4주,1297.57,하남동
A0020494,(주)명진주유소,광주 광산구 고봉로 21 (하남동),2020년 09월 5주,1289.0,하남동
A0020494,(주)명진주유소,광주 광산구 고봉로 21 (하남동),2020년 10월 1주,1289.0,하남동
A0020494,(주)명진주유소,광주 광산구 고봉로 21 (하남동),2020년 10월 2주,1289.0,하남동
A0020494,(주)명진주유소,광주 광산구 고봉로 21 (하남동),2020년 10월 3주,1281.86,하남동
A0020494,(주)명진주유소,광주 광산구 고봉로 21 (하남동),2020년 10월 4주,1279.0,하남동
A0020306,지에스칼텍스(주)장수IC주유소,광주 광산구 고봉로 238,2019년 11월 1주,1519.0,장수동
A0020306,지에스칼텍스(주)장수IC주유소,광주 광산구 고봉로 238,2019년 11월 2주,1519.0,장수동
A0020306,지에스칼텍스(주)장수IC주유소,광주 광산구 고봉로 238,2019년 11월 3주,1519.0,장수동
A0020306,지에스칼텍스(주)장수IC주유소,광주 광산구 고봉로 238,2019년 11월 4주,1519.0,장수동
A0020306,지에스칼텍스(주)장수IC주유소,광주 광산구 고봉로 238,2019년 12월 1주,1522.57,장수동
A0020306,지에스칼텍스(주)장수IC주유소,광주 광산구 고봉로 238,2019년 12월 2주,1529.71,장수동
A0020306,지에스칼텍스(주)장수IC주유소,광주 광산구 고봉로 238,2019년 12월 3주,1534.0,장수동
A0020306,지에스칼텍스(주)장수IC주유소,광주 광산구 고봉로 238,2019년 12월 4주,1545.43,장수동
A0020306,지에스칼텍스(주)장수IC주유소,광주 광산구 고봉로 238,2020년 01월 1주,1554.0,장수동
A0020306,지에스칼텍스(주)장수IC주유소,광주 광산구 고봉로 238,2020년 01월 2주,1565.43,장수동
