"번호","지역","상호","주소","기간","상표","셀프여부","고급휘발유","휘발유","경유","실내등유"
"A0020491","광주 광산구","(유)효창주유소","광주 광산구 사암로 744 (도천동)","2020년 09월 4주","GS칼텍스","일반","1639.00","1339.00","1139.00","1000.00"
"A0020491","광주 광산구","(유)효창주유소","광주 광산구 사암로 744 (도천동)","2020년 09월 5주","GS칼텍스","일반","1639.00","1339.00","1139.00","1000.00"
"A0020491","광주 광산구","(유)효창주유소","광주 광산구 사암로 744 (도천동)","2020년 10월 1주","GS칼텍스","일반","1639.00","1317.57","1117.57","1000.00"
"A0020491","광주 광산구","(유)효창주유소","광주 광산구 사암로 744 (도천동)","2020년 10월 2주","GS칼텍스","일반","1639.00","1314.00","1114.00","1000.00"
"A0020491","광주 광산구","(유)효창주유소","광주 광산구 사암로 744 (도천동)","2020년 10월 3주","GS칼텍스","일반","1639.00","1314.00","1114.00","1000.00"
"A0020491","광주 광산구","(유)효창주유소","광주 광산구 사암로 744 (도천동)","2020년 10월 4주","GS칼텍스","일반","1639.00","1314.00","1114.00","1000.00"
"A0020622","광주 광산구","(주)대각주유소","광주 광산구 용아로 143 (소촌동)","2020년 05월 1주","GS칼텍스","셀프","1599.00","1259.00","1099.00","990.00"
"A0020622","광주 광산구","(주)대각주유소","광주 광산구 용아로 143 (소촌동)","2020년 05월 2주","GS칼텍스","셀프","1599.00","1259.00","1099.00","0.00"
"A0020622","광주 광산구","(주)대각주유소","광주 광산구 용아로 143 (소촌동)","2020년 05월 3주","GS칼텍스","셀프","1599.00","1259.00","1099.00","0.00"
"A0020622","광주 광산구","(주)대각주유소","광주 광산구 용아로 143 (소촌동)","2020년 05월 4주","GS칼텍스","셀프","1599.00","1259.00","1099.00","0.00"
"A0020622","광주 광산구","(주)대각주유소","광주 광산구 용아로 143 (소촌동)","2020년 06월 1주","GS칼텍스","셀프","1599.00","1259.00","1099.00","0.00"
"A0020622","광주 광산구","(주)대각주유소","광주 광산구 용아로 143 (소촌동)","2020년 06월 2주","GS칼텍스","셀프","1599.00","1259.00","1099.00","0.00"
"A0020622","광주 광산구","(주)대각주유소","광주 광산구 용아로 143 (소촌동)","2020년 06월 3주","GS칼텍스","셀프","1599.00","1241.86","1099.00","0.00"
"A0020622","광주 광산구","(주)대각주유소","광주 광산구 용아로 143 (소촌동)","2020년 06월 4주","GS칼텍스","셀프","1563.29","1263.29","1090.43","0.00"
"A0020622","광주 광산구","(주)대각주유소","광주 광산구 용아로 143 (소촌동)","2020년 07월 1주","GS칼텍스","셀프","1549.00","1290.43","1096.14","990.00"
"A0020622","광주 광산구","(주)대각주유소","광주 광산구 용아로 143 (소촌동)","2020년 07월 2주","GS칼텍스","셀프","1549.00","1299.00","1099.00","990.00"
"A0020622","광주 광산구","(주)대각주유소","광주 광산구 용아로 143 (소촌동)","2020년 07월 3주","GS칼텍스","셀프","1549.00","1299.00","1099.00","990.00"
"A0020622","광주 광산구","(주)대각주유소","광주 광산구 용아로 143 (소촌동)","2020년 07월 4주","GS칼텍스","셀프","1549.00","1306.14","1106.14","990.00"
"A0020622","광주 광산구","(주)대각주유소","광주 광산구 용아로 143 (소촌동)","2020년 07월 5주","GS칼텍스","셀프","1549.00","1309.00","1109.00","990.00"
"A0020622","광주 광산구","(주)대각주유소","광주 광산구 용아로 143 (소촌동)","2020년 08월 1주","GS칼텍스","셀프","1549.00","1309.00","1109.00","990.00"
"A0020622","광주 광산구","(주)대각주유소","광주 광산구 용아로 143 (소촌동)","2020년 08월 2주","GS칼텍스","셀프","1549.00","1309.00","1109.00","990.00"
"A0020622","광주 광산구","(주)대각주유소","광주 광산구 용아로 143 (소촌동)","2020년 08월 3주","GS칼텍스","셀프","1549.00","1309.00","1109.00","990.00"
"A0020622","광주 광산구","(주)대각주유소","광주 광산구 용아로 143 (소촌동)","2020년 08월 4주","GS칼텍스","셀프","1549.00","1309.00","1109.00","990.00"
"A0020622","광주 광산구","(주)대각주유소","광주 광산구 용아로 143 (소촌동)","2020년 09월 1주","GS칼텍스","셀프","1549.00","1309.00","1109.00","0.00"
"A0020622","광주 광산구","(주)대각주유소","광주 광산구 용아로 143 (소촌동)","2020년 09월 2주","GS칼텍스","셀프","1549.00","1309.00","1109.00","0.00"
"A0020622","광주 광산구","(주)대각주유소","광주 광산구 용아로 143 (소촌동)","2020년 09월 3주","GS칼텍스","셀프","1549.00","1309.00","1109.00","0.00"
"A0020622","광주 광산구","(주)대각주유소","광주 광산구 용아로 143 (소촌동)","2020년 09월 4주","GS칼텍스","셀프","1549.00","1297.57","1097.57","990.00"
"A0020622","광주 광산구","(주)대각주유소","광주 광산구 용아로 143 (소촌동)","2020년 09월 5주","GS칼텍스","셀프","1549.00","1289.00","1089.00","990.00"
"A0020622","광주 광산구","(주)대각주유소","광주 광산구 용아로 143 (소촌동)","2020년 10월 1주","GS칼텍스","셀프","1549.00","1289.00","1089.00","990.00"
"A0020622","광주 광산구","(주)대각주유소","광주 광산구 용아로 143 (소촌동)","2020년 10월 2주","GS칼텍스","셀프","1549.00","1289.00","1089.00","990.00"
"A0020622","광주 광산구","(주)대각주유소","광주 광산구 용아로 143 (소촌동)","2020년 10월 3주","GS칼텍스","셀프","1549.00","1281.86","1081.86","990.00"
"A0020622","광주 광산구","(주)대각주유소","광주 광산구 용아로 143 (소촌동)","2020년 10월 4주","GS칼텍스","셀프","1549.00","1279.00","1079.00","990.00"
"A0020644","광주 광산구","(주)대창석유직영 공단주유소","광주 광산구 사암로 800 (도천동)","2020년 05월 1주","SK에너지","일반","0.00","1277.00","1077.00","900.00"
"A0020644","광주 광산구","(주)대창석유직영 공단주유소","광주 광산구 사암로 800 (도천동)","2020년 05월 2주","SK에너지","일반","0.00","1260.57","1060.57","900.00"
"A0020644","광주 광산구","(주)대창석유직영 공단주유소","광주 광산구 사암로 800 (도천동)","2020년 05월 3주","SK에너지","일반","0.00","1254.00","1054.00","900.00"
"A0020644","광주 광산구","(주)대창석유직영 공단주유소","광주 광산구 사암로 800 (도천동)","2020년 05월 4주","SK에너지","일반","0.00","1254.00","1054.00","900.00"
"A0020644","광주 광산구","(주)대창석유직영 공단주유소","광주 광산구 사암로 800 (도천동)","2020년 06월 1주","SK에너지","일반","0.00","1258.29","1061.14","900.00"
"A0020644","광주 광산구","(주)대창석유직영 공단주유소","광주 광산구 사암로 800 (도천동)","2020년 06월 2주","SK에너지","일반","0.00","1283.29","1090.43","900.00"
"A0020644","광주 광산구","(주)대창석유직영 공단주유소","광주 광산구 사암로 800 (도천동)","2020년 06월 3주","SK에너지","일반","0.00","1312.14","1115.00","900.00"
"A0020644","광주 광산구","(주)대창석유직영 공단주유소","광주 광산구 사암로 800 (도천동)","2020년 06월 4주","SK에너지","일반","0.00","1325.00","1141.29","900.00"
"A0020644","광주 광산구","(주)대창석유직영 공단주유소","광주 광산구 사암로 800 (도천동)","2020년 07월 1주","SK에너지","일반","0.00","1330.71","1145.00","900.00"
"A0020644","광주 광산구","(주)대창석유직영 공단주유소","광주 광산구 사암로 800 (도천동)","2020년 07월 2주","SK에너지","일반","0.00","1335.00","1145.00","900.00"
"A0020644","광주 광산구","(주)대창석유직영 공단주유소","광주 광산구 사암로 800 (도천동)","2020년 07월 3주","SK에너지","일반","0.00","1335.00","1145.00","900.00"
"A0020644","광주 광산구","(주)대창석유직영 공단주유소","광주 광산구 사암로 800 (도천동)","2020년 07월 4주","SK에너지","일반","0.00","1335.00","1145.00","900.00"
"A0020644","광주 광산구","(주)대창석유직영 공단주유소","광주 광산구 사암로 800 (도천동)","2020년 07월 5주","SK에너지","일반","0.00","1335.00","1145.00","900.00"
"A0020644","광주 광산구","(주)대창석유직영 공단주유소","광주 광산구 사암로 800 (도천동)","2020년 08월 1주","SK에너지","일반","0.00","1335.00","1145.00","900.00"
"A0020644","광주 광산구","(주)대창석유직영 공단주유소","광주 광산구 사암로 800 (도천동)","2020년 08월 2주","SK에너지","일반","0.00","1335.00","1145.00","900.00"
"A0020644","광주 광산구","(주)대창석유직영 공단주유소","광주 광산구 사암로 800 (도천동)","2020년 08월 3주","SK에너지","일반","0.00","1335.00","1145.00","900.00"
"A0020644","광주 광산구","(주)대창석유직영 공단주유소","광주 광산구 사암로 800 (도천동)","2020년 08월 4주","SK에너지","일반","0.00","1335.00","1145.00","900.00"
"A0020644","광주 광산구","(주)대창석유직영 공단주유소","광주 광산구 사암로 800 (도천동)","2020년 09월 1주","SK에너지","일반","0.00","1335.00","1145.00","900.00"
"A0020644","광주 광산구","(주)대창석유직영 공단주유소","광주 광산구 사암로 800 (도천동)","2020년 09월 2주","SK에너지","일반","0.00","1335.00","1145.00","900.00"
"A0020644","광주 광산구","(주)대창석유직영 공단주유소","광주 광산구 사암로 800 (도천동)","2020년 09월 3주","SK에너지","일반","0.00","1335.00","1145.00","900.00"
"A0020644","광주 광산구","(주)대창석유직영 공단주유소","광주 광산구 사암로 800 (도천동)","2020년 09월 4주","SK에너지","일반","0.00","1320.00","1122.86","900.00"
"A0020644","광주 광산구","(주)대창석유직영 공단주유소","광주 광산구 사암로 800 (도천동)","2020년 09월 5주","SK에너지","일반","0.00","1314.00","1114.00","900.00"
"A0020644","광주 광산구","(주)대창석유직영 공단주유소","광주 광산구 사암로 800 (도천동)","2020년 10월 1주","SK에너지","일반","0.00","1314.00","1114.00","900.00"
"A0020644","광주 광산구","(주)대창석유직영 공단주유소","광주 광산구 사암로 800 (도천동)","2020년 10월 2주","SK에너지","일반","0.00","1314.00","1114.00","900.00"
"A0020644","광주 광산구","(주)대창석유직영 공단주유소","광주 광산구 사암로 800 (도천동)","2020년 10월 3주","SK에너지","일반","0.00","1314.00","1114.00","900.00"
"A0020644","광주 광산구","(주)대창석유직영 공단주유소","광주 광산구 사암로 800 (도천동)","2020년 10월 4주","SK에너지","일반","0.00","1314.00","1114.00","900.00"
"A0020678","광주 광산구","(주)대창석유직영 운수주유소","광주 광산구 동곡로 846 (운수동)","2020년 05월 1주","SK에너지","일반","0.00","1275.00","1089.00","900.00"
"A0020678","광주 광산구","(주)대창석유직영 운수주유소","광주 광산구 동곡로 846 (운수동)","2020년 05월 2주","SK에너지","일반","0.00","1272.14","1080.43","900.00"
"A0020678","광주 광산구","(주)대창석유직영 운수주유소","광주 광산구 동곡로 846 (운수동)","2020년 05월 3주","SK에너지","일반","0.00","1265.00","1069.00","900.00"
"A0020678","광주 광산구","(주)대창석유직영 운수주유소","광주 광산구 동곡로 846 (운수동)","2020년 05월 4주","SK에너지","일반","0.00","1265.00","1069.00","900.00"
"A0020678","광주 광산구","(주)대창석유직영 운수주유소","광주 광산구 동곡로 846 (운수동)","2020년 06월 1주","SK에너지","일반","0.00","1267.86","1071.86","900.00"
"A0020678","광주 광산구","(주)대창석유직영 운수주유소","광주 광산구 동곡로 846 (운수동)","2020년 06월 2주","SK에너지","일반","0.00","1287.86","1096.14","900.00"
"A0020678","광주 광산구","(주)대창석유직영 운수주유소","광주 광산구 동곡로 846 (운수동)","2020년 06월 3주","SK에너지","일반","0.00","1312.14","1126.14","900.00"
"A0020678","광주 광산구","(주)대창석유직영 운수주유소","광주 광산구 동곡로 846 (운수동)","2020년 06월 4주","SK에너지","일반","0.00","1325.00","1142.43","900.00"
"A0020678","광주 광산구","(주)대창석유직영 운수주유소","광주 광산구 동곡로 846 (운수동)","2020년 07월 1주","SK에너지","일반","0.00","1330.71","1145.00","900.00"
"A0020678","광주 광산구","(주)대창석유직영 운수주유소","광주 광산구 동곡로 846 (운수동)","2020년 07월 2주","SK에너지","일반","0.00","1335.00","1145.00","900.00"
"A0020678","광주 광산구","(주)대창석유직영 운수주유소","광주 광산구 동곡로 846 (운수동)","2020년 07월 3주","SK에너지","일반","0.00","1335.00","1145.00","900.00"
"A0020678","광주 광산구","(주)대창석유직영 운수주유소","광주 광산구 동곡로 846 (운수동)","2020년 07월 4주","SK에너지","일반","0.00","1335.00","1145.00","900.00"
"A0020678","광주 광산구","(주)대창석유직영 운수주유소","광주 광산구 동곡로 846 (운수동)","2020년 07월 5주","SK에너지","일반","0.00","1335.00","1145.00","900.00"
"A0020678","광주 광산구","(주)대창석유직영 운수주유소","광주 광산구 동곡로 846 (운수동)","2020년 08월 1주","SK에너지","일반","0.00","1335.00","1145.00","900.00"
"A0020678","광주 광산구","(주)대창석유직영 운수주유소","광주 광산구 동곡로 846 (운수동)","2020년 08월 2주","SK에너지","일반","0.00","1335.00","1145.00","900.00"
"A0020678","광주 광산구","(주)대창석유직영 운수주유소","광주 광산구 동곡로 846 (운수동)","2020년 08월 3주","SK에너지","일반","0.00","1335.00","1145.00","900.00"
"A0020678","광주 광산구","(주)대창석유직영 운수주유소","광주 광산구 동곡로 846 (운수동)","2020년 08월 4주","SK에너지","일반","0.00","1335.00","1145.00","900.00"
"A0020678","광주 광산구","(주)대창석유직영 운수주유소","광주 광산구 동곡로 846 (운수동)","2020년 09월 1주","SK에너지","일반","0.00","1335.00","1145.00","900.00"
"A0020678","광주 광산구","(주)대창석유직영 운수주유소","광주 광산구 동곡로 846 (운수동)","2020년 09월 2주","SK에너지","일반","0.00","1335.00","1145.00","900.00"
"A0020678","광주 광산구","(주)대창석유직영 운수주유소","광주 광산구 동곡로 846 (운수동)","2020년 09월 3주","SK에너지","일반","0.00","1335.00","1145.00","900.00"
"A0020678","광주 광산구","(주)대창석유직영 운수주유소","광주 광산구 동곡로 846 (운수동)","2020년 09월 4주","SK에너지","일반","0.00","1317.86","1127.86","900.00"
"A0020678","광주 광산구","(주)대창석유직영 운수주유소","광주 광산구 동곡로 846 (운수동)","2020년 09월 5주","SK에너지","일반","0.00","1315.00","1125.00","900.00"
"A0020678","광주 광산구","(주)대창석유직영 운수주유소","광주 광산구 동곡로 846 (운수동)","2020년 10월 1주","SK에너지","일반","0.00","1315.00","1125.00","900.00"
"A0020678","광주 광산구","(주)대창석유직영 운수주유소","광주 광산구 동곡로 846 (운수동)","2020년 10월 2주","SK에너지","일반","0.00","1315.00","1125.00","900.00"
"A0020678","광주 광산구","(주)대창석유직영 운수주유소","광주 광산구 동곡로 846 (운수동)","2020년 10월 3주","SK에너지","일반","0.00","1315.00","1125.00","900.00"
"A0020678","광주 광산구","(주)대창석유직영 운수주유소","광주 광산구 동곡로 846 (운수동)","2020년 10월 4주","SK에너지","일반","0.00","1306.43","1116.43","900.00"
"A0020614","광주 광산구","(주)동곡에너지","광주 광산구 북문대로 328 (신창동)","2020년 05월 1주","S-OIL","일반","0.00","1254.43","1077.57","1100.00"
"A0020614","광주 광산구","(주)동곡에너지","광주 광산구 북문대로 328 (신창동)","2020년 05월 2주","S-OIL","일반","0.00","1229.57","1059.00","933.33"
"A0020614","광주 광산구","(주)동곡에너지","광주 광산구 북문대로 328 (신창동)","2020년 05월 3주","S-OIL","일반","0.00","1234.71","1075.00","900.00"
"A0020614","광주 광산구","(주)동곡에너지","광주 광산구 북문대로 328 (신창동)","2020년 05월 4주","S-OIL","일반","0.00","1263.29","1066.14","900.00"
